date,close
1,0.7091086
2,0.75270015
3,0.81764275
4,0.85147434
5,0.8611409
6,0.88934577
7,0.92087716
8,0.94912374
9,0.96722966
10,0.96578705
11,0.9566551
12,0.9238313
13,0.9329545
14,0.9074803
15,0.88192225
16,0.9122242
17,0.93578136
18,0.94902927
19,0.9460583
20,0.9085344000000001
21,0.90648025
22,0.92236274
23,0.88013285
24,0.9135636
25,0.9235093000000001
26,0.90842885
27,0.9292648000000001
28,0.8906808
29,0.8555292
30,0.7985914000000001
31,0.76547265
32,0.8162251
33,0.82936525
34,0.8461617
35,0.861733
36,0.8590121999999999
37,0.8505043
38,0.8275066999999999
39,0.7827879
40,0.71687245
41,0.59622693
42,0.5743555
43,0.44102138
44,0.51700723
45,0.67429656
46,0.4729139
47,0.3275637
48,0.4763657
49,0.55655324
50,0.41006428
51,0.30841553
52,0.24136995
53,0.18739122
54,0.16239291
55,0.18133296
