date,close
1,0.34654868
2,0.43902102
3,0.45224482
4,0.50098467
5,0.30139357
6,0.39315522
7,0.48859529999999995
8,0.60332024
9,0.67952377
10,0.60036165
11,0.66288865
12,0.67633724
13,0.7492031
14,0.7899797
15,0.81347674
16,0.80393076
17,0.6849366
18,0.6996559
19,0.7100981
20,0.7382194999999999
21,0.72991496
22,0.7249958000000001
23,0.5527719
24,0.7084455
25,0.7913076
26,0.84206975
27,0.7698232
28,0.8251166
29,0.6311289000000001
30,0.7039404
31,0.64899385
32,0.7568672
33,0.7655246
34,0.7019904
35,0.6939484
36,0.7706458
37,0.64398366
38,0.7086504
39,0.7493373000000001
40,0.65576804
41,0.7273774000000001
42,0.77833515
43,0.72793436
44,0.7766991999999999
45,0.71559435
46,0.75173056
