date,close
1,0.76661575
2,0.82443297
3,0.8042069000000001
4,0.78310233
5,0.8112124
6,0.81735414
7,0.806632
8,0.78665906
9,0.75699985
10,0.8061849
11,0.84537303
12,0.8159033
13,0.84773535
14,0.87809765
15,0.7325924
16,0.74841
17,0.79695994
18,0.8097258
19,0.8610308000000001
20,0.8360501
21,0.7481866
22,0.71069854
23,0.6436188
24,0.59948355
25,0.7348501999999999
26,0.7641708
27,0.8034195
28,0.72850657
29,0.5092886
30,0.5468424
31,0.6127116
32,0.39105344
33,0.34928933
34,0.41748527
35,0.38307688
36,0.3016105
37,0.37960222
38,0.22497640000000002
39,0.13995463
40,0.09517774
41,0.08243545
42,0.18784279999999998
43,0.14553608
44,0.12415204
45,0.10368812
46,0.17923455
