date,close
1,0.34654868
2,0.21769156
3,0.24101323
4,0.26576406
5,0.37744194
6,0.48886782
7,0.66061455
8,0.7059475000000001
9,0.6992779
10,0.65934366
11,0.6277384
12,0.69565564
13,0.74392164
14,0.7899126000000001
15,0.7697111999999999
16,0.7773624
17,0.8282925999999999
18,0.8456415
19,0.8667524
20,0.87888217
21,0.8745242
22,0.8753813
23,0.8588577
24,0.89152116
25,0.8770521000000001
26,0.84252965
27,0.8463491
28,0.86767507
29,0.8915698000000001
30,0.89669496
31,0.88211477
32,0.81482494
33,0.8323771000000001
34,0.8154985
35,0.86863834
36,0.8587263
37,0.87585664
38,0.8700697000000001
39,0.8663595
40,0.8524166999999999
41,0.8453030999999999
42,0.87495196
43,0.9063766
44,0.94922596
45,0.96555585
46,0.9663385
