date,close
1,0.733913
2,0.8288493
3,0.90004176
4,0.9239546000000001
5,0.9306323000000001
6,0.9471275
7,0.9639186
8,0.9675666999999999
9,0.9729601000000001
10,0.97729206
11,0.977665
12,0.97940046
13,0.97806466
14,0.9783506999999999
15,0.9794463
16,0.98190236
17,0.98149544
18,0.9815019
19,0.9834568000000001
20,0.9854386999999999
21,0.9799805
22,0.9764582
23,0.960888
24,0.9677266
25,0.95227623
26,0.9457032
27,0.9454601
28,0.9480685999999999
29,0.8988824000000001
30,0.80625844
31,0.77144974
32,0.80426717
33,0.7432488
34,0.8108873999999999
35,0.763818
36,0.7652394
37,0.79681337
38,0.7889252
39,0.71257085
40,0.8049757
